sid,true_eb_eV,pred_eb_eV,target_seed42,b21_seed42_pred_eV,target_seed123,b21_seed123_pred_eV,target_seed456,b21_seed456_pred_eV,b21_three_seed_ensemble_pred_eV,cheap_abs_error_eV,b21_ensemble_abs_error_eV,abs_error_delta_cheap_minus_b21_ensemble_eV
D-124_A-353,0.9482857119455436,0.89793354,0.9482857,0.9181489,0.9482857,0.86512536,0.9482857,0.91554844,0.8996075666666666,0.050352171945543533,0.04867814527887693,0.001674026666666606
D-24_A-20,0.8935830509093231,1.010154,0.89358306,1.0061802,0.89358306,1.0940593,0.89358306,1.0425329,1.0475908,0.11657094909067689,0.15400774909067694,-0.03743680000000005
D-33_A-8,0.9777439812272718,0.9354624,0.977744,0.9187355,0.977744,0.9511689,0.977744,0.9576614,0.9425219333333333,0.04228158122727177,0.03522204789393846,0.007059533333333312
D-44_A-156,0.6064873766505805,0.57731915,0.6064874,0.57280517,0.6064874,0.5974191,0.6064874,0.60353947,0.5912545799999999,0.029168226650580498,0.015232796650580638,0.01393542999999986
D-27_A-119,0.7342798211435247,0.9085675,0.7342798,0.8731109,0.7342798,0.7634809,0.7342798,0.696277,0.7776229333333333,0.17428767885647523,0.043343112189808575,0.13094456666666665
D-141_A-140,0.6940769416355236,0.7388011,0.69407696,0.7342496,0.69407696,0.7156018,0.69407696,0.7484622,0.7327712000000001,0.04472415836447641,0.038694258364476486,0.0060298999999999214
D-118_A-153,0.7055756959948997,0.6751829,0.7055757,0.71759665,0.7055757,0.7154122,0.7055757,0.6937908,0.7089332166666668,0.030392795994899635,0.003357520671767089,0.027035275323132546
D-101_A-334,1.1336496750532137,1.1274302,1.1336497,0.96807504,1.1336497,1.1015275,1.1336497,1.1438172,1.0711399133333332,0.00621947505321363,0.06250976171988043,-0.0562902866666668
D-141_A-365,0.7096651786135825,0.7133958,0.7096652,0.7435869,0.7096652,0.75108564,0.7096652,0.71855474,0.7377424266666667,0.003730621386417554,0.028077248053084203,-0.02434662666666665
D-31_A-276,0.8085980043222102,1.0179193,0.808598,1.1046115,0.808598,1.192893,0.808598,0.97196496,1.0898231533333333,0.2093212956777898,0.28122514901112317,-0.07190385333333338
D-98_A-353,0.8228334466697543,0.86038357,0.8228334,0.7945471,0.8228334,0.92771924,0.8228334,0.8104764,0.8442475799999999,0.037550123330245655,0.021414133330245555,0.0161359900000001
D-83_A-58,0.6291427993708115,0.74299264,0.6291428,0.62577033,0.6291428,0.65369517,0.6291428,0.66040945,0.6466249833333334,0.11384984062918846,0.01748218396252188,0.09636765666666658
D-138_A-365,0.6211271024509221,0.67746496,0.6211271,0.71850836,0.6211271,0.717679,0.6211271,0.7348436,0.7236769866666667,0.05633785754907794,0.10254988421574462,-0.04621202666666668
D-29_A-204,0.7449777832790903,0.6137841,0.7449778,0.6196811,0.7449778,0.65095884,0.7449778,0.65123534,0.6406250933333334,0.1311936832790902,0.10435268994575686,0.02684099333333334
D-109_A-18,1.091440927644794,1.0146308,1.0914409,0.9520457,1.0914409,0.9942977,1.0914409,0.96283364,0.9697256799999999,0.07681012764479411,0.12171524764479413,-0.04490512000000002
D-90_A-10,0.7679519679524888,0.84986323,0.76795197,0.8808166,0.76795197,0.84884953,0.76795197,0.878394,0.8693533766666667,0.0819112620475112,0.10140140871417791,-0.019490146666666708
D-132_A-37,1.1368761679938095,1.1263037,1.1368762,1.0826015,1.1368762,0.98869634,1.1368762,0.9721682,1.01448868,0.010572467993809509,0.12238748799380961,-0.1118150200000001
D-96_A-19,0.7908250817626878,0.8689922,0.79082507,0.8764999,0.79082507,0.8811645,0.79082507,0.8516165,0.8697602999999999,0.07816711823731215,0.07893521823731209,-0.0007680999999999383
D-141_A-3,0.8339123682127637,0.88457394,0.8339124,0.8944206,0.8339124,0.85707814,0.8339124,0.83081114,0.8607699600000002,0.05066157178723629,0.026857591787236457,0.023803979999999836
D-100_A-4,1.119748544022406,1.0964317,1.1197486,1.0565461,1.1197486,1.0404044,1.1197486,1.0363812,1.0444439,0.02331684402240608,0.07530464402240589,-0.051987799999999806
D-142_A-16,0.8904109807412193,0.9611156,0.89041096,0.8989874,0.89041096,0.949453,0.89041096,0.97420585,0.9408820833333333,0.07070461925878069,0.05047110259211407,0.020233516666666618
D-85_A-60,0.6232806893052475,0.6116074,0.6232807,0.6029744,0.6232807,0.58266854,0.6232807,0.6044475,0.5966968133333334,0.01167328930524747,0.02658387597191414,-0.01491058666666667
D-144_A-268,0.7943703366564508,0.82706034,0.79437035,0.8145052,0.79437035,0.79785323,0.79437035,0.75761425,0.7899908933333334,0.0326900033435491,0.00437944332311746,0.02831056002043164
D-31_A-101,0.5690367344943165,0.6747383,0.5690367,0.7203392,0.5690367,0.70601034,0.5690367,0.6719123,0.6994206133333334,0.10570156550568355,0.13038387883901692,-0.024682313333333372
D-110_A-318,0.696969123259383,0.74004924,0.69696915,0.7368566,0.69696915,0.71025413,0.69696915,0.69332075,0.71347716,0.04308011674061707,0.01650803674061707,0.026572079999999998
D-144_A-41,0.898823186432122,0.91461736,0.8988232,0.7974169,0.8988232,0.7556275,0.8988232,0.7467655,0.7666033,0.015794173567878045,0.132219886432122,-0.11642571286424397
D-141_A-190,0.651922616999596,0.69867986,0.65192264,0.6874676,0.65192264,0.6757003,0.65192264,0.69075465,0.6846408500000001,0.04675724300040407,0.03271823300040411,0.014039009999999963
D-85_A-144,0.6165011667891042,0.6140566,0.61650115,0.6166413,0.61650115,0.5870282,0.61650115,0.59969443,0.60112131,0.0024445667891042078,0.01537985678910414,-0.012935289999999933
D-109_A-201,0.4768601072564782,0.70981663,0.4768601,0.61915994,0.4768601,0.6219946,0.4768601,0.6323893,0.6245146133333334,0.23295652274352174,0.14765450607685515,0.08530201666666659
D-23_A-35,0.996022258102791,1.0114542,0.9960223,1.0231917,0.9960223,1.0741415,0.9960223,1.0578587,1.0517306333333334,0.015431941897208978,0.055708375230542395,-0.04027643333333342
D-158_A-290,0.6086020900959831,0.6424731,0.6086021,0.6405525,0.6086021,0.62234104,0.6086021,0.6525388,0.6384774466666666,0.033871009904016924,0.02987535657068352,0.003995653333333404
D-132_A-368,0.7523481816108607,0.7377899,0.7523482,0.71236885,0.7523482,0.70230156,0.7523482,0.74638236,0.7203509233333333,0.014558281610860702,0.03199725827752742,-0.017438976666666717
